"approval_status","product_name","category","brand","short_description","price_myr","sku","stock_status","vehicle_compatibility","image_source_url","image_permission_confirmed","image_alt_text","owner_approved","notes"
"scope-approved-2026-07-13","Universal Car Phone Holder","Accessories","BROTHER'S Auto Catalog","Adjustable dashboard phone holder with a stable clamp for everyday navigation.","39","BA-001","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-001.png","yes — project-generated illustration","Universal Car Phone Holder clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Dual USB-C Car Charger 65W","Accessories","BROTHER'S Auto Catalog","Compact dual-port vehicle charger for compatible phones, tablets and accessories.","79","BA-002","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-002.png","yes — project-generated illustration","Dual USB-C Car Charger 65W clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Premium Rubber Floor Mat Set","Accessories","BROTHER'S Auto Catalog","Easy-clean rubber floor mat set designed to help protect the vehicle carpet.","129","BA-003","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-003.png","yes — project-generated illustration","Premium Rubber Floor Mat Set clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Waterproof Car Boot Organizer","Accessories","BROTHER'S Auto Catalog","Foldable boot organizer with divided storage for tools, groceries and travel gear.","89","BA-004","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-004.png","yes — project-generated illustration","Waterproof Car Boot Organizer clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Foldable Windshield Sunshade","Accessories","BROTHER'S Auto Catalog","Reflective foldable sunshade that helps reduce direct sunlight in a parked vehicle.","45","BA-005","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-005.png","yes — project-generated illustration","Foldable Windshield Sunshade clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Memory Foam Neck Pillow Pair","Accessories","BROTHER'S Auto Catalog","Pair of contoured memory-foam neck cushions for added seat comfort.","69","BA-006","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-006.png","yes — project-generated illustration","Memory Foam Neck Pillow Pair clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Seat Gap Storage Organizer Pair","Accessories","BROTHER'S Auto Catalog","Slim storage organizers designed to fit beside compatible front seats.","59","BA-007","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-007.png","yes — project-generated illustration","Seat Gap Storage Organizer Pair clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Universal Weatherproof Car Cover","Accessories","BROTHER'S Auto Catalog","Weather-resistant cover for temporary protection from dust and light outdoor exposure.","139","BA-008","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-008.png","yes — project-generated illustration","Universal Weatherproof Car Cover clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Emergency Reflective Triangle Kit","Accessories","BROTHER'S Auto Catalog","Compact reflective warning triangle kit for roadside emergency visibility.","35","BA-009","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-009.png","yes — project-generated illustration","Emergency Reflective Triangle Kit clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Heavy-Duty Tow Strap 5 Ton","Accessories","BROTHER'S Auto Catalog","Reinforced recovery strap for compatible towing and roadside recovery points.","69","BA-010","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-010.png","yes — project-generated illustration","Heavy-Duty Tow Strap 5 Ton clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Car Tissue Holder","Accessories","BROTHER'S Auto Catalog","Compact tissue holder designed for a tidy cabin and convenient access.","25","BA-011","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-011.png","yes — project-generated illustration","Car Tissue Holder clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Keyless Signal Blocking Pouch","Accessories","BROTHER'S Auto Catalog","Shielded storage pouch intended to reduce unwanted keyless remote signal transmission.","39","BA-012","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-012.png","yes — project-generated illustration","Keyless Signal Blocking Pouch clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Portable Jump Starter 1200A","Safety & Security","BROTHER'S Auto Catalog","Rechargeable portable jump starter with clamps for compatible 12V vehicle batteries.","299","BA-013","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-013.png","yes — project-generated illustration","Portable Jump Starter 1200A clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Digital Tyre Inflator","Safety & Security","BROTHER'S Auto Catalog","Portable digital inflator with pressure display for routine tyre top-ups.","169","BA-014","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-014.png","yes — project-generated illustration","Digital Tyre Inflator clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","1080p Front Dash Camera","Safety & Security","BROTHER'S Auto Catalog","Compact front-facing driving recorder with Full HD video capture.","249","BA-015","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-015.png","yes — project-generated illustration","1080p Front Dash Camera clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Dual Channel Front Rear Dash Camera","Safety & Security","BROTHER'S Auto Catalog","Front-and-rear driving camera kit for broader journey recording coverage.","399","BA-016","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-016.png","yes — project-generated illustration","Dual Channel Front Rear Dash Camera clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Reverse Parking Camera","Safety & Security","BROTHER'S Auto Catalog","Rear-view camera module for compatible displays and reverse-assist installations.","149","BA-017","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-017.png","yes — project-generated illustration","Reverse Parking Camera clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Four Sensor Parking Assist Kit","Safety & Security","BROTHER'S Auto Catalog","Four-sensor parking aid kit with audible distance alerts for compatible vehicles.","189","BA-018","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-018.png","yes — project-generated illustration","Four Sensor Parking Assist Kit clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Steering Wheel Lock","Safety & Security","BROTHER'S Auto Catalog","Visible mechanical steering lock designed as an additional theft deterrent.","119","BA-019","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-019.png","yes — project-generated illustration","Steering Wheel Lock clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Compact Car Fire Extinguisher 1kg","Safety & Security","BROTHER'S Auto Catalog","Compact 1kg fire extinguisher for vehicle emergency preparedness.","79","BA-020","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-020.png","yes — project-generated illustration","Compact Car Fire Extinguisher 1kg clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","pH Neutral Car Shampoo 1L","Car Care","BROTHER'S Auto Catalog","Balanced car shampoo for routine exterior washing on compatible finishes.","39","BA-021","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-021.png","yes — project-generated illustration","pH Neutral Car Shampoo 1L clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Ceramic Spray Wax 500ml","Car Care","BROTHER'S Auto Catalog","Spray-on paint protectant that adds gloss and short-term water repellency.","69","BA-022","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-022.png","yes — project-generated illustration","Ceramic Spray Wax 500ml clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Interior Cleaner 500ml","Car Care","BROTHER'S Auto Catalog","General cabin cleaner for compatible plastic, vinyl and interior surfaces.","35","BA-023","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-023.png","yes — project-generated illustration","Interior Cleaner 500ml clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Tyre Shine Gel 500ml","Car Care","BROTHER'S Auto Catalog","Tyre dressing gel for a clean, dark finish after washing.","45","BA-024","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-024.png","yes — project-generated illustration","Tyre Shine Gel 500ml clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Microfiber Detailing Towel Set","Car Care","BROTHER'S Auto Catalog","Soft microfiber towel set for drying, wiping and detailing tasks.","29","BA-025","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-025.png","yes — project-generated illustration","Microfiber Detailing Towel Set clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Wheel Cleaning Brush Set","Car Care","BROTHER'S Auto Catalog","Multi-size brush set for cleaning compatible wheel faces and narrow areas.","39","BA-026","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-026.png","yes — project-generated illustration","Wheel Cleaning Brush Set clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Car Wash Mitt","Car Care","BROTHER'S Auto Catalog","Soft wash mitt for controlled exterior cleaning with car shampoo.","25","BA-027","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-027.png","yes — project-generated illustration","Car Wash Mitt clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Automotive Glass Cleaner 500ml","Car Care","BROTHER'S Auto Catalog","Fast-wipe glass cleaner for compatible interior and exterior automotive glass.","25","BA-028","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-028.png","yes — project-generated illustration","Automotive Glass Cleaner 500ml clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Leather Cleaner Conditioner 500ml","Car Care","BROTHER'S Auto Catalog","Cleaner and conditioner for compatible finished automotive leather surfaces.","49","BA-029","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-029.png","yes — project-generated illustration","Leather Cleaner Conditioner 500ml clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Portable Car Vacuum Cleaner","Car Care","BROTHER'S Auto Catalog","Compact cabin vacuum for seats, mats and hard-to-reach interior areas.","129","BA-030","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-030.png","yes — project-generated illustration","Portable Car Vacuum Cleaner clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","LED Headlight Bulb Pair H4","Electrical & Lighting","BROTHER'S Auto Catalog","Pair of H4-format LED headlight bulbs for compatible housings and electrical systems.","139","BA-031","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-031.png","yes — project-generated illustration","LED Headlight Bulb Pair H4 clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","LED Headlight Bulb Pair H7","Electrical & Lighting","BROTHER'S Auto Catalog","Pair of H7-format LED headlight bulbs for compatible housings and electrical systems.","139","BA-032","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-032.png","yes — project-generated illustration","LED Headlight Bulb Pair H7 clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","LED Fog Lamp Bulb Pair","Electrical & Lighting","BROTHER'S Auto Catalog","Pair of LED fog-lamp bulbs for compatible sockets and lamp assemblies.","99","BA-033","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-033.png","yes — project-generated illustration","LED Fog Lamp Bulb Pair clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","Interior LED Light Kit","Electrical & Lighting","BROTHER'S Auto Catalog","Multi-piece LED cabin light kit for compatible interior bulb sockets.","69","BA-034","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-034.png","yes — project-generated illustration","Interior LED Light Kit clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
"scope-approved-2026-07-13","12V Car Horn Pair","Electrical & Lighting","BROTHER'S Auto Catalog","Dual 12V horn set for compatible vehicle wiring and mounting points.","89","BA-035","Confirm before order","Universal or model-specific — confirm before order","docs/product-images/generated/BA-035.png","yes — project-generated illustration","12V Car Horn Pair clean product illustration on a white background","yes — automotive catalog scope","Display price for the assignment catalog. Confirm final price, fitment, stock and installation before sale."
